cpmorph_mouth_tweak_c,cpmorph_chin_tweak_a,cpmorph_brow_tweak_b,cpmorph_nose_preset,cpmorph_chin_tweak_b,cpmorph_eye_tweak_d,cpmorph_forehead_preset,cpmorph_head_tweak_a,cpmorph_forehead_tweak_a,cpmorph_nose_tweak_c,cpmorph_brow_tweak_c,cpmorph_chin_tweak_e,cpmorph_brow_tweak_e,cpmorph_nose_tweak_b,cpmorph_nose_tweak_d,cpmorph_brow_tweak_d,cpmorph_head_tweak_e,cpmorph_forehead_tweak_e,cpmorph_ear_tweak_a,cpmorph_chin_preset,cpmorph_mouth_tweak_a,cpmorph_chin_tweak_c,cpmorph_eye_tweak_a,cpmorph_nose_tweak_e,cpmorph_chin_tweak_d,cpmorph_forehead_tweak_b,cpmorph_head_tweak_b,cpmorph_ear_preset,cpmorph_eye_preset,cpmorph_head_tweak_d,cpmorph_forehead_tweak_d,cpmorph_head_tweak_c,cpmorph_forehead_tweak_c,cpmorph_brow_tweak_a,cpmorph_eye_tweak_b,cpmorph_ear_tweak_e,cpmorph_brow_preset,cpmorph_head_preset,cpmorph_mouth_tweak_e,cpmorph_eye_tweak_e,cpmorph_nose_tweak_a,cpmorph_mouth_tweak_b,cpmorph_mouth_tweak_d,cpmorph_ear_tweak_d,cpmorph_mouth_preset,cpmorph_ear_tweak_b,cpmorph_eye_tweak_c,cpmorph_ear_tweak_c,cpmorph_mouth_preset_weight,cpmorph_forehead_preset_weight,cpmorph_ear_preset_weight,create_playerid,cpmorph_nose_preset_weight,cpmorph_head_preset_weight,cpmorph_eye_preset_weight,cpmorph_brow_preset_weight,cpmorph_chin_preset_weight
-93,-14,-44,0,28,69,0,9,0,22,-100,-100,-78,100,100,16,43,0,-16,4,-100,-4,-57,41,30,0,22,1,11,31,0,-10,0,23,-17,-37,0,7,0,0,-12,-58,41,64,1,10,-61,-62,48,100,69,265906,100,40,35,6,100
6,-52,-9,15,82,39,0,42,0,-11,48,10,-43,23,18,13,21,0,-28,3,48,10,8,7,40,0,25,12,11,93,0,35,0,100,-28,18,0,1,0,0,6,4,72,35,19,72,30,39,77,100,82,266145,36,18,100,0,49
-69,49,-72,19,100,8,0,-19,0,36,99,-60,-100,21,-4,-26,-47,0,72,2,-45,51,36,-32,77,0,32,0,0,-76,0,-51,0,56,-6,13,0,6,0,0,-36,-11,100,-46,7,-62,28,-32,58,100,55,266436,58,80,28,0,76
-55,-57,-76,8,49,-31,0,-31,0,-39,-27,-36,-76,52,-16,-52,11,0,-80,3,-48,11,-85,18,29,0,-52,3,17,40,0,-68,0,-14,-60,-100,0,10,0,0,-97,-29,-3,-35,0,-88,-5,-65,91,100,20,268940,30,57,87,0,70
14,6,43,7,22,-18,0,11,0,-23,-16,-33,71,24,67,11,39,0,-31,8,41,28,48,33,14,0,3,9,9,31,0,-3,0,-70,-21,65,0,11,0,0,100,-80,77,100,8,-12,-23,86,61,100,74,269404,25,100,49,100,12
14,-50,-92,1,-37,44,0,12,0,50,-37,-28,55,-36,-96,6,-68,0,8,6,-73,62,17,-17,62,0,33,4,18,-7,0,-1,0,100,26,-100,0,5,0,0,63,-73,-40,18,8,89,-77,-46,2,100,58,269423,51,51,87,0,45
-12,100,-44,4,62,54,0,22,0,-34,-4,26,-6,-4,-91,-34,28,0,26,8,-34,-38,-66,-52,56,0,37,5,8,-32,0,11,0,73,-58,-44,0,7,0,0,-66,-63,81,97,7,100,13,26,92,100,52,269643,78,58,83,48,85
99,-69,-29,12,80,50,0,-65,0,-23,-55,-72,100,33,35,-44,-78,0,56,1,37,-3,-70,-42,-39,0,-55,1,17,-88,0,11,0,-55,2,12,0,7,0,0,84,-63,95,-42,17,-100,1,-25,96,100,97,270409,47,82,82,0,100
100,-19,57,2,83,-47,0,-79,0,-34,-30,22,17,47,58,2,-51,0,-45,1,77,-70,25,4,65,0,-58,10,12,2,0,25,0,33,34,30,0,7,0,0,100,52,42,-58,7,-45,-4,-57,49,100,77,271222,76,100,75,0,56
-50,52,-100,19,90,-52,0,1,0,-12,-10,-6,-58,-29,30,24,18,0,35,6,24,-14,-25,-58,18,0,43,4,11,1,0,-20,0,-91,-24,-6,0,0,0,0,75,-21,62,37,7,100,-31,-100,87,100,41,271682,83,100,42,0,85
4,-42,-42,12,70,-81,0,28,0,89,-79,-28,-21,34,49,100,52,0,-36,1,-43,-19,-13,28,-6,0,0,4,15,51,0,-23,0,13,-4,-79,0,1,0,0,-100,-77,-82,7,6,14,-17,11,61,100,50,271916,100,56,100,66,70
-74,-25,-27,16,58,-68,0,-80,0,-66,100,-49,26,30,54,0,49,0,-21,1,-100,73,-19,9,7,0,-87,4,15,64,0,20,0,45,-15,-100,0,4,0,0,-100,-100,-51,100,16,96,-29,-55,52,100,55,274987,87,75,58,84,93
71,-14,-18,8,84,-36,0,-6,0,-36,100,-24,100,-4,88,7,-35,0,54,6,16,61,-22,1,-7,0,58,8,1,-43,0,69,0,-100,-54,-100,0,6,0,0,-47,31,-20,94,5,-5,-49,-100,70,100,94,276493,50,79,80,0,54
-34,-23,-24,10,0,-100,0,-12,0,2,-63,-19,100,-39,22,-63,19,0,-10,1,-3,56,-32,-75,15,0,7,9,1,95,0,14,0,-7,14,-63,0,0,0,0,-100,-44,-15,34,7,100,-54,-66,75,100,52,276880,82,89,66,0,77
-56,-23,10,2,99,-52,0,-16,0,20,-35,-1,-48,16,-91,9,27,0,-24,1,-100,-33,-24,-16,33,0,-9,12,0,50,0,11,0,-100,7,47,0,1,0,0,-78,14,-20,97,7,46,-80,-47,47,100,77,276949,96,23,63,0,0
-65,-67,-46,0,14,0,0,-36,0,9,-31,-1,0,18,-100,100,39,0,-50,1,5,-10,5,-8,7,0,57,0,2,47,0,-52,0,68,-36,-69,0,4,0,0,-100,-55,60,-46,0,100,-63,-5,70,100,87,277029,100,49,87,0,21
11,-100,-71,25,97,-100,0,8,0,-28,-77,58,16,-18,91,56,50,0,0,3,-50,50,-22,-52,100,0,10,1,4,-9,0,80,0,40,-65,-100,0,9,0,0,-13,-58,97,21,7,9,-84,-5,100,100,40,277518,21,76,100,65,50
-75,31,-56,0,42,0,0,31,0,-48,-90,0,8,27,-18,-96,-18,0,0,0,-1,-22,0,-22,10,0,31,0,0,100,0,4,0,1,0,0,0,8,0,0,0,-54,-33,0,0,0,42,0,100,100,100,278813,100,100,100,100,100
-98,-73,-20,0,-94,46,0,-70,0,-16,-100,-81,-97,26,65,-24,-23,0,22,1,-27,92,-28,14,-14,0,31,7,12,52,0,-76,0,-18,14,-69,0,2,0,0,6,-100,-47,80,0,31,-3,25,40,100,100,278923,55,76,72,0,84
